Id,Name,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Count,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate
1,Cheddar,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,13,1,40,3,
18,Artichoke Hearts,Dry Goods,6# CANS,CAN,6,OZ-wt,324,6,1,53.22,20,12/28/2016 11:52:40 AM
34,Canola Oil,Dry Goods,30lb JUG,JUG,1,OZ-wt,800,2.1,0.99,20.85,0,
50,Chili Powder,Herbs,20oz,OZ-wt,20,TBL,78.05,5,1,5.49,0,
72,Chicken Breast,Poultry,40lb CASE,CASE,1,OZ-wt,640,272,0.85,68.7,0,
73,Celery,Produce,1/2 CASE,1/2 CASE,1,BUNCH,12,2,1,2.05,0,
74,Clam Juice,Dry Goods,12x48oz CANS,CAN,12,EA,12,2,1,28.87,0,
